YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST_FLAG,PREVIOUS_FLAG,BENEFICIAL_OWNER,BO_COUNTRY,COMMERCIAL_OPERATOR,REGISTERED_OWNER,RO_COUNTRY,PLACE,COUNTRY
2022,8528553,OCEAN ALICE,Products Tanker,3448,2758.4,2002,Unknown,,Wu W,China,Kind Glory Shipping Co Ltd,Shun Sheng HK Shipping Co Ltd,Hong Kong,Chittagong,Bangladesh
2022,9110638,RICH SINO,Chemical Tanker,19095,15276,1996,Panama,,Yang JW,China,Enrich Sino International Ltd,Enrich Sino International Ltd,Hong Kong,Chittagong,Bangladesh
2022,6404375,LOMAIVITI PRINCESS V,Passenger/Ro-Ro Ship (Vehicles),4939,3951.2,1964,Fiji,,Goundar Shipping Ltd,Fiji,Goundar Shipping Ltd,Goundar Shipping Ltd,Fiji,Alang,India
2022,7710525,ABEILLE LANGUEDOC,Tug,1585,1268,1979,France,,Bourbon Corp SA,France,Les Abeilles,Leaseflow SAS,France,Brest,France
2022,7710513,ABEILLE FLANDRE,Tug,1577,1261.6,1978,France,,Bourbon Corp SA,France,Les Abeilles,Leaseflow SAS,France,Brest,France
2022,9194115,OCEANIC CHALLENGER,Research Survey Vessel,7127,5701.6,2000,Norway (Nis),,CGG SA,France,Geofield Ship Management,Geo Vessels AS,Norway,Aliaga,Turkey
2022,5304011,S. T. CRAPO,"Bulk Cement Barge, non propelled",4769,3815.2,1927,United States Of America,,Lafarge SA,France,Lafarge North America Inc,Lafarge North America Inc,United States Of America,Port Colborne,Canada
2022,9088938,VIVIA,Asphalt/Bitumen Tanker,5942,4753.6,1994,Comoros,Panama,Rubis SCA,France,Blue Round Shipping Corp,Blue Round Shipping Corp,Panama,Chittagong,Bangladesh
2022,9167186,RUGEN 7,Crude/Oil Products Tanker,22181,17744.8,2001,Comoros,Liberia,Chemikalien Seetransport GmbH,Germany,Handytankers K/S,Sarlin Enterprises SA,Liberia,Chittagong,Bangladesh
2022,6507983,SAN REMO,General Cargo Ship,1283,1026.4,1965,St Vincent & The Grenadines,,Lubecker Schifffahrts,Germany,Sonata Shipping Co Ltd,Sonata Shipping Co Ltd,St Vincent & The Grenadines,Grenaa,Denmark
2022,7713345,LARGONA,General Cargo Ship,866,692.8,1978,St Vincent & The Grenadines,,Lubecker Schifffahrts,Germany,Anna Shipping Co Ltd,Largo Shipping S de RL,Honduras,,Norway
2022,8900488,YUE DIAN 3,Bulk Carrier,36120,28896,1989,China  ,,Guangdong Yudean Group Co Ltd,China  ,TOSCO KEYMAX Intl Ship Mgmt,Guangdong Yudean Shpg Co Ltd,China  ,Xinhui,China  
2022,8716708,DA TANG 1 HAO,Bulk Carrier,37222,29777.6,1989,China  ,,Jiangsu Datang Shipping Co Ltd,China  ,Jiangsu Datang Shipping Co Ltd,Jiangsu Datang Shipping Co Ltd,China  ,"Jiangyin,",China  
2022,8901810,BEI LUN 6,Bulk Carrier,25766,20612.8,1989,Sierra Leone,China  ,Nanjing Iron & Steel United,China  ,Ningbo Beilun Shipping Co Ltd,Ningbo Beilun Shipping Co Ltd,China  ,Chittagong,Bangladesh
2022,8904214,FUNING 2,Bulk Carrier,13695,10956,1989,Panama,China  ,Ningbo Pacific Shipping Co Ltd,China  ,Ningbo Pacific Shipping Co Ltd,Ningbo Pacific Shipping Co Ltd,China  ,Chittagong,Bangladesh
2022,9035577,JIN TA 12,Bulk Carrier,7102,5681.6,1990,China  ,,Wuhan Juntai Wuliu Co Ltd,China  ,Wuhan Juntai Wuliu Co Ltd,Wuhan Juntai Wuliu Co Ltd,China  ,Zhoushan,China  
2022,9378797,LIAN YING 38,Container Ship (Fully Cellular),2591,2072.8,2005,China  ,,Zhuhai Qiao Island,China  ,Zhuhai Qiao Island,Zhuhai Qiao Island,China  ,Unknown,China  
2022,8351118,LUBENICE,Passenger/Ro-Ro Ship (Vehicles),2425,1940,1983,Croatia,,Jadrolinija,Croatia,Jadrolinija,Jadrolinija,Croatia,Aliaga,Turkey
2022,8400531,PROSPERITY,Bulk Carrier,16582,13265.6,1986,Panama,,Channel Carriers Inc,Greece,Tasfiye Halinde Onal Gemicilik,Carriers Bulk Enterprises,British Virgin Islands,Chittagong,Bangladesh
2022,9292565,STARLET,Bulk Carrier,88930,71144,2004,Comoros,Marshall Islands,Chartworld Maritime Mngmt,Greece,Chartworld Maritime Mngmt,Loren Trading Inc,Liberia,Chittagong,Bangladesh
2022,9234496,KANE,Chemical/Products Tanker,30770,24616,2002,St Kitts & Nevis,Liberia,European Navigation Inc,Greece,European Product Carriers Ltd,Bene Maritime,Liberia,Chittagong,Bangladesh
2022,9424429,FAIR PIGASOS,Chemical/Products Tanker,7534,6027.2,2010,Liberia,,Fairdeal Group Mgmt SA,Greece,Fairdeal Group Mgmt SA,Alfa Ena Shipping Ltd,Liberia,Gadani,Pakistan
2022,9424431,WESTIN 101,Chemical/Products Tanker,7534,6027.2,2010,Panama,Liberia,Fairdeal Group Mgmt SA,Greece,Fairdeal Group Mgmt SA,Alfa Dyo Shipping Ltd,Liberia,Gadani,Pakistan
2022,9252060,STAR,Chemical/Products Tanker,27352,21881.6,2002,Liberia,,IMS SA,Greece,IMS SA,Midgard Services SA,Liberia,Chittagong,Bangladesh
2022,9237527,NEW INSPIRATION,Crude Oil Tanker,159613,127690.4,2002,Liberia,,New Shipping Ltd-LIB,Greece,New Shipping Ltd-LIB,Symmetrical Investment Co,Liberia,Gadani,Pakistan
2022,9221891,STAR I,Crude Oil Tanker,59827,47861.6,2001,Liberia,,New Shipping Ltd-LIB,Greece,New Shipping Ltd-LIB,Audley Maritime Corp,Liberia,Gadani,Pakistan
2022,9228239,SUNBEAM,Bulk Carrier,85399,68319.2,2000,Marshall Islands,,Nicholas G Moundreas Shipping,Greece,NGM Energy SA,Navy Shipmanagement Co,Marshall Islands,Gadani,Pakistan
2022,7368970,SUSANITA,Fishing Vessel,516,412.8,1973,Denmark,,Schmidt RH,Denmark,Schmidt RH,Schmidt RH,Denmark,Grenaa,Denmark
2022,8913629,ADMARINE 100,"FSO, Oil",28223,22578.4,1992,Unknown,Panama,Advanced Energy Systems,Egypt,Advanced Energy Systems,Advanced Energy Systems,Egypt,Gadani,Pakistan
2022,8611453,NUWAYBA,Ro-Ro Cargo Ship,6650,5320,1989,Egypt,,Egyptian Navigation Co,Egypt,Egyptian Navigation Co,Egyptian Navigation Co,Egypt,Alexandria,Egypt
2022,8317588,RAS MOHAMED,Ro-Ro Cargo Ship,6650,5320,1986,Egypt,,Egyptian Navigation Co,Egypt,Egyptian Navigation Co,Egyptian Navigation Co,Egypt,Alexandria,Egypt
2022,8987498,PORT SAID STAR,Bunkering Tanker (Oil),529,423.2,2002,Egypt,,Elzeky Marine Service,Egypt,Elzeky Marine Service,Elzeky Marine Service,Egypt,Suez,Egypt
2022,8766545,TRAINER 1,"Crane Vessel, non propelled",2570,2056,1966,St Kitts & Nevis,Panama,Maridive & Oil Services SAE,Egypt,Valentine Maritime Co Gulf LLC,Ocean Marine FZC,United Arab Emirates,Gadani,Pakistan
2022,8316871,NIELS PAULI,Fishing Vessel,742,593.6,1983,Faeroe Islands,,Hammer M,Faeroe Islands,Hammer M,Niels Pauli,Faeroe Islands,Esbjerg,Denmark
2022,8217104,OCEAN MARINER,Refrigerated Cargo Ship,5070,4056,1983,Panama,,Good Success Transportation,Hong Kong,Good Success Transportation,Good Success Transportation,Hong Kong,Chittagong,Bangladesh
2022,9118848,AN PING 8,Bulk Carrier,35997,28797.6,1995,Panama,,Hong Teng Shipping Ltd,Hong Kong,Tian Heng Shipping Management,Hong Teng Shipping Ltd,Hong Kong,Chittagong,Bangladesh
2022,8200527,Y 6,Bulk Carrier,24843,19874.4,1986,St Kitts & Nevis,Sierra Leone,Hongfan International Shipping,Hong Kong,Hongfan International Shipping,Hongfan International Shipping,Hong Kong,Chittagong,Bangladesh
2022,9057018,ONE VISION,Bulk Carrier,53935,43148,1993,Comoros,Panama,Ocean Faith International,Hong Kong,Ocean Faith International,Best Vision International Shpg,Hong Kong,Chittagong,Bangladesh
2022,9227003,SHINY,Bulk Carrier,85906,68724.8,2002,St Kitts & Nevis,Liberia,Shinyo International Group Ltd,Hong Kong,Shinyo Fortune Ltd,Shinyo Fortune Ltd,Liberia,Chittagong,Bangladesh
2022,9535943,WINTON T128,Aggregates Carrier,1467,975,2003,Panama,,Winton Enterprises Ltd,Hong Kong,Winton Enterprises Ltd,Winton Enterprises Ltd,Hong Kong,Chittagong,Bangladesh
2022,7125861,DRAGON,Passenger/Cruise,18455,14764,1972,St Kitts & Nevis,Panama,Hopewin Ship Management,Hong Kong ,Hopewin Ship Management,Hopewin Ship Management,Hong Kong ,Gadani,Pakistan
2022,8112744,RIDLEY,Research Survey Vessel,1241,992.8,1981,Comoros,Marshall Islands,Ho Choi Marine Ltd,"Hong Kong, China",Ho Choi Marine Ltd,Ho Choi Marine Ltd,Marshall Islands,Alang,India
2022,7383009,HRAFN,Fishing Vessel,601,480.8,1974,Iceland,,Thorbjorn Fiskanes hf,Iceland,Thorbjorn Fiskanes hf,Thorbjorn Fiskanes hf,Iceland,Ghent,Belgium
2022,8407735,MARELLA DREAM,Passenger/Cruise,54763,43810.4,1986,Comoros,Malta,TUI AG,Germany,Marella Cruises,TUI UK Ltd,United Kingdom,Aliaga,Turkey
2022,8027298,MARELLA CELEBRATION,Passenger/Cruise,33933,27146.4,1984,Unknown,Malta,TUI AG,Germany,Marella Cruises,TUI UK Ltd,United Kingdom,Aliaga,Turkey
2022,7362108,ILOS,Passenger/Ro-Ro Ship (Vehicles),13572,10857.6,1975,Togo,,ANEN SA,Greece,ANEN SA,ANEN SA,Greece,Aliaga,Turkey
2022,7332672,LENE,Passenger/Ro-Ro Ship (Vehicles),13302,10641.6,1973,Togo,,ANEN SA,Greece,ANEN SA,ANEN SA,Greece,Aliaga,Turkey
2022,7347548,RICH,Passenger/Ro-Ro Ship (Vehicles),13336,10668.8,1974,Comoros,Cyprus,A-Ships Management SA,Greece,A-Ships Management SA,Ambition Maritime SA,Marshall Islands,Alang,India
2022,8612134,LIBRA,Passenger/Cruise,42285,33828,1988,Togo,Bahamas,Attica Group,Greece,Flash Maritime Ltd-MAI,Flash Maritime Ltd-MAI,Marshall Islands,Aliaga,Turkey
2022,9103831,DORA,Chemical/Products Tanker,31183,24946.4,1999,Comoros,Greece,Avin International SA,Greece,Tanco Ship Management SA,Notus Oceanway SA,Liberia,Alang,India
2022,8407008,ENERGY 2,Platform Supply Ship,2562,2049.6,1985,Palau,Tuvalu,Hind Offshore Pvt Ltd,India,Asiana Offshore Pte Ltd,Asiana Offshore Pte Ltd,Singapore,Alang,India
2022,8818283,BUMBLEBEE 3,"Hopper Barge, non propelled",1435,711,1989,India,,Ocean Sparkle Ltd,India,Ocean Sparkle Ltd,Ocean Sparkle Ltd,India,Chittagong,Bangladesh
2022,8318233,NOVE,Anchor Handling Tug Supply,1147,917.6,1991,St Kitts & Nevis,,Papaa Shipping Pvt Ltd,India,Papaa Shipping Pvt Ltd,Durmast Enterprises Ltd,Seychelles,Alang,India
2022,9219410,SERENITY,Platform Supply Ship,2594,2075.2,1999,St Kitts & Nevis,,SALS Shipping Pvt Ltd,India,SALS Shipping Pvt Ltd,Riya Shipping Corporation,Singapore,Alang,India
2022,9203332,PERFECT,Chemical/Products Tanker,7375,5900,1999,St Kitts & Nevis,India,Seven Islands Shipping Ltd,India,Seven Islands Shipping Ltd,Seven Islands Shipping Ltd,India,Alang,India
2022,9192741,ARMONY,Chemical/Products Tanker,23843,19074.4,1999,Gabon,India,Seven Islands Shipping Ltd,India,Seven Islands Shipping Ltd,Seven Islands Shipping Ltd,India,Gadani,Pakistan
2022,8015659,VIGHNHARTA,"Bulk Carrier, Self-discharging",40504,32403.2,1982,India,,Sulog Transshipment Services,India,Sulog Transshipment Services,Sulog Transshipment Services,India,Chittagong,Bangladesh
2022,9549554,TAG-8,Platform Supply Ship,2369,1895.2,2009,St Kitts & Nevis,India,Tag Offshore Ltd,India,Tag Offshore Ltd,Tag Offshore Ltd,India,Alang,India
2022,9378993,TAG-5,Anchor Handling Tug Supply,1904,1523.2,2009,St Kitts & Nevis,India,Tag Offshore Ltd,India,Tag Offshore Ltd,Tag Offshore Ltd,India,Alang,India
2022,9178056,STROVOLOS,Products Tanker,28546,22836.8,1999,Bahamas,,Polys Haji-Ioannou Group,Greece,World Tankers Management Pte,Strovolos Shipping Co Ltd,Liberia,Chittagong,Bangladesh
2022,6918560,RIVIERA,"Accommodation Vessel, Stationary",8893,7114.4,1969,Comoros,Cyprus,Sea Jets Maritime Co,Greece,Sea Jets Maritime Co,Jambo Jet Maritime Co,Greece,Alang,India
2022,7382433,CHRISTOS XXIII,Offshore Tug/Supply Ship,1323,1058.4,1975,Panama,,Spanopoulos Group SA,Greece,Spanopoulos Group SA,IMS Christos XXIII SA,Marshall Islands,Aliaga,Turkey
2022,9252979,NORTH,Crude Oil Tanker,56203,44962.4,2003,Panama,,SR Navigation SA,Greece,SR Navigation SA,Marblue Shipping Company SA,Panama,Chittagong,Bangladesh
2022,7361398,LOUP,Chemical Tanker,1982,1585.6,1974,Togo,Greece,Unknown,Greece,Unknown,Unknown,Unknown,Aliaga,Turkey
2022,7391214,DAHLIA,LNG Tanker,88919,71135.2,1979,Palau,Norway,Elliot SWG,Hong Kong,Hong Kong LNG Ltd,Hong Kong LNG Ltd,Hong Kong,Alang,India
2022,9083275,JAMILA,Bulk Carrier,26823,21458.4,1995,Comoros,Panama,Fujian Shipping Trading Co Ltd,Hong Kong,Fujian Shipping Trading Co Ltd,Rudolph Marine Ltd,Marshall Islands,Gadani,Pakistan
2022,8820602,ST. KAMBRIA 3,Cement Carrier,773,618.4,1988,Indonesia,,Bosowa Group,Indonesia,Lagaligo Lines PT,Lagaligo Lines PT,Indonesia,Bojonegara,Indonesia
2022,8703608,ST. KAMBRIA 2,Cement Carrier,949,759.2,1987,Indonesia,,Bosowa Group,Indonesia,Lagaligo Lines PT,Lagaligo Lines PT,Indonesia,Surabaya,Indonesia
2022,9248837,PETROGARUDA,Crude Oil Tanker,62371,49896.8,2003,Indonesia,,Buana Lintas Lautan Tbk PT,Indonesia,Gemilang Bina Lintas Tirta PT,Pearl Maritime PT,Indonesia,Chittagong,Bangladesh
2022,9299343,KAPTEN CAROQ,Crude/Oil Products Tanker,61724,49379.2,2006,Marshall Islands,,Buana Lintas Lautan Tbk PT,Indonesia,Trafigura Maritime Ventures,Lavies Lease SA,Panama,Chittagong,Bangladesh
2022,9209295,PAPPY,Crude Oil Tanker,56239,44991.2,1999,Comoros,Indonesia,Buana Lintas Lautan Tbk PT,Indonesia,Buana Lintas Lautan Tbk PT,Buana Lintas Lautan Tbk PT,Indonesia,Chittagong,Bangladesh
2022,9299355,AQUA,Crude/Oil Products Tanker,61724,49379.2,2006,St Kitts & Nevis,Singapore,Buana Lintas Lautan Tbk PT,Indonesia,Sigma Tankers Inc,Aquanus Maritime Pte Ltd,Singapore,Gadani,Pakistan
2022,8604319,BHAITA PERKASA,General Cargo Ship,1160,928,1986,Indonesia,,Cakra Bahana PT,Indonesia,Cakra Bahana PT,Cakra Bahana PT,Indonesia,Bojonegara,Indonesia
2022,7222607,DIVINE SUCCESS,Cement Carrier,13998,11198.4,1972,Indonesia,,Indobaruna Bulk Transport PT,Indonesia,Indobaruna Bulk Transport PT,Indobaruna Bulk Transport PT,Indonesia,Bojonegara,Indonesia
2022,6423436,CAESAR,Cement Carrier,4491,3592.8,1965,Indonesia,,Indobaruna Bulk Transport PT,Indonesia,Sekawan Intiperkasa,Sekawan Intiperkasa,Indonesia,Unknown,Indonesia
2022,7511539,KLAKKUR,Fishing Vessel,744,595.2,1977,Iceland,,Tjaldtangi ehf,Iceland,Tjaldtangi ehf,Tjaldtangi ehf,Iceland,Ghent,Belgium
2022,8754683,ABA V,"Drilling Rig, jack up",5250,4200,1973,St Kitts & Nevis,Panama,Aban Offshore Ltd,India,Aban Offshore Ltd,Aban Offshore Ltd,India,Alang,India
2022,7411521,ABA I,Drilling Ship,12386,9908.8,1976,St Kitts & Nevis,Bahamas,Aban Offshore Ltd,India,Aban Singapore Pte Ltd,Aban Abraham Pte Ltd,Singapore,Alang,India
